Station ID,Location,Longitude,Latitude,Vs30 (m/s),EBD (m),Predominant frequency,H/V ratio,Building damage situation
2705,Gaziantep/ Islahiye,"36,62062","37,01184",720,15,"5,36","3,4",0
2707,Gaziantep/ Altinuzum,"36,573771","36,930889",546,22,"1,44","3,4",0
2708,Gaziantep/ Fevzipasa,"36,648373","37,09933",315,520,"1,43","5,9",1
2709,Gaziantep/ Kozdere,"36,670482","37,128525",521,33,"5,60","3,9",0
3112,Hatay/ Iskenderun,"36,14766","36,58801",238,146,"5,00","6,6",1
3113,Hatay/ Iskenderun,"36,14766","36,57752",190,195,"0,52","5,1",0
3114,Hatay/ Iskenderun,"36,15135","36,56704",202,330,"0,34","4,1",1
3115,Hatay/ Iskenderun,"36,16459","36,54634",380,465,"0,20","4,7",1
3116,Hatay/ Iskenderun,"36,20661","36,61618",708,5,"4,20","3,4",0
3117,Hatay/ Iskenderun,"36,17471","36,55712",597,88,"4,05","2,2",0
3119,Hatay/ Iskenderun,"36,16811","36,57527",380,493,"0,16","3,9",1
3120,Hatay/ Iskenderun,"36,20568","36,58924",455,48,"3,73","3,1",0
3121,Hatay/ Iskenderun,"36,21825","36,66408",257,53,"2,17","8,9",0
3124,Hatay/ Guzelburc,"36,1722","36,2387",262,517,"1,07","4,3",1
3125,Hatay/Afet Konutlari,"36,13264","36,23808",436,83,"0,94","5,2",0
3126,Hatay/Akasya Mah.,"36,1375","36,2202",287,488,"0,12","9,8",1
3127,Hatay/ Esentepe Mah.,"36,1353","36,21",329,500,"0,16","6,2",1
3128,Hatay/ Esenlik Mah.,"36,1471","36,2056",307,445,"0,20","4,6",1
3129,Hatay/ Turunclu,"36,1343","36,19117",417,440,"0,15","4,8",1
3130,Hatay/ Harbiye,"36,145","36,1792",331,373,"0,24","4,8",1
3131,Hatay/Bagriyanik Mah.,"36,16328","36,19121",493,25,"1,68","4,3",0
3132,Hatay/ Orhanli Mah.,"36,17159","36,20673",324,523,"0,20","4,1",1
3133,Hatay/ Reyhanli,"36,5736","36,2432",232,566,"0,29","6,6",1
3134,Hatay/ Dortyol,"36,20485","36,82763",313,61,"0,96","1,8",0
3135,Hatay/ Arsuz,"35,8831","36,40886",294,605,"0,13","5,4",1
3143,Hatay/ Akbez,"36,557138","36,848907",393,490,"0,17","5,9",1
3144,Hatay/ Hacilar,"36,485742","36,75691",391,612,"0,15","3,6",1
3145,Hatay/ Balarmudu,"36,4064","36,64536",475,476,"0,17","2,5",1
4611,Kahramanmaras/ Caglayancerit,"37,28426","37,7472",731,20,"6,60","1,5",0
4612,Kahramanmaras/ Goksun,"36,48187","38,02395",255,84,"0,86","3,9",0
4614,Kahramanmaras/ Pazarcik,"37,29775","37,48513",459,509,"0,14","2,8",1
4617,Kahramanmaras Afsar,"36,8303","37,58551",574,40,"5,10","1,7",0
4618,Kahramanmaras/ Binevler Mah.,"36,87231","37,60011",593,149,"0,43","3,7",0
4619,Kahramanmaras/ Haydarbey Mah.,"36,86616","37,58702",362,80,"0,40","4,9",0
4620,Kahramanmaras/ Necip Fazil Mah.,"36,89845","37,58568",412,220,"0,22","7,1",1
4621,Kahramanmaras/ Gazipasa Mah.,"36,92909","37,59347",486,41,"2,00","2,0",0
4622,Kahramanmaras/ Dogukent Mah.,"36,97759","37,58426",352,646,"0,13","3,4",1
4623,Kahramanmaras/ Bahcelievler Mah.,"36,93397","37,56918",392,724,"0,12","5,8",1
4624,Kahramanmaras/ Adana Yolu,"36,91765","37,5361",261,528,"0,80","4,8",1
4629,Kahramanmaras/ Beyoglu,"36,788705","37,287373",387,65,"3,14","4,8",1
4630,Kahramanmaras/ Ceceli,"36,806037","37,344912",311,579,"0,21","3,1",1
4631,Kahramanmaras/ Nurhak,"37,427653","37,966325",543,45,"2,60","3,7",0
4632,Kahramanmaras/ Sekeroba,"36,773694","37,256028",253,701,"0,13","2,8",1
8004,Osmaniye/ Kadirli,"36,097633","37,379888",323,577,"0,13","4,6",1
